year,GDP,GDP growth
1341,1165380,10.25
1342,1263310,8.4
1343,1404074,11.14
1344,1590779,13.3
1345,1782032,12.02
1346,2010389,12.81
1347,2296959,14.25
1348,2683584,16.83
1349,2908297,8.37
1350,3537870,21.65
1351,4048210,14.43
1352,4566216,12.8
1353,4882094,6.92
1354,4608072,-5.61
1355,5261669,14.18
1356,4994951,-5.07
1357,3683448,-26.26
1358,3243926,-11.93
1359,2359032,-27.28
1360,2212458,-6.21
1361,2900881,31.12
1362,3099718,6.85
1363,2965972,-4.31
1364,2927398,-1.3
1365,2619753,-10.51
1366,2713528,3.58
1367,2531485,-6.71
1368,2977223,17.61
1369,3355192,12.7
1370,3810380,13.57
1371,3923017,2.96
1372,4107256,4.7
1373,4048921,-1.42
1374,4128769,1.97
1375,4328953,4.85
1376,4207604,-2.8
1377,4297854,2.14
1378,4279479,-0.43
1379,4508707,5.36
1380,4578083,1.54
1381,4743090,3.6
1382,5185240,9.32
1383,5440919,4.93
1384,5721462,5.16
1385,6155435,7.58
1386,6639087,7.86
1387,6605304,-0.51
1388,6614957,0.15
1389,6895121,4.24
1390,6866811,-0.41
1391,6279352,-8.56
1392,6434376,2.47
1393,6580553,2.27
1394,6577287,-0.05
1395,7508814,14.16
1396,7869763,4.81
1397,7497744,-4.73
1398,7183703,-4.19
1399,7254000,0.98
1400,7569000,4.34
