date,monthly CPI
1/1/1361,0.3
2/1/1361,0.2
3/1/1361,0.2
4/1/1361,0.2
5/1/1361,0.2
6/1/1361,0.2
7/1/1361,0.3
8/1/1361,0.3
9/1/1361,0.3
10/1/1361,0.3
11/1/1361,0.3
12/1/1361,0.3
1/1/1362,0.3
2/1/1362,0.3
3/1/1362,0.3
4/1/1362,0.3
5/1/1362,0.3
6/1/1362,0.3
7/1/1362,0.3
8/1/1362,0.3
9/1/1362,0.3
10/1/1362,0.3
11/1/1362,0.3
12/1/1362,0.4
1/1/1363,0.4
2/1/1363,0.4
3/1/1363,0.4
4/1/1363,0.4
5/1/1363,0.4
6/1/1363,0.3
7/1/1363,0.4
8/1/1363,0.4
9/1/1363,0.4
10/1/1363,0.4
11/1/1363,0.4
12/1/1363,0.4
1/1/1364,0.4
2/1/1364,0.4
3/1/1364,0.4
4/1/1364,0.4
5/1/1364,0.4
6/1/1364,0.4
7/1/1364,0.4
8/1/1364,0.4
9/1/1364,0.4
10/1/1364,0.4
11/1/1364,0.4
12/1/1364,0.4
1/1/1365,0.4
2/1/1365,0.4
3/1/1365,0.4
4/1/1365,0.4
5/1/1365,0.4
6/1/1365,0.5
7/1/1365,0.5
8/1/1365,0.5
9/1/1365,0.5
10/1/1365,0.5
11/1/1365,0.5
12/1/1365,0.5
1/1/1366,0.5
2/1/1366,0.6
3/1/1366,0.6
4/1/1366,0.6
5/1/1366,0.6
6/1/1366,0.6
7/1/1366,0.6
8/1/1366,0.6
9/1/1366,0.6
10/1/1366,0.6
11/1/1366,0.6
12/1/1366,0.7
1/1/1367,0.7
2/1/1367,0.7
3/1/1367,0.8
4/1/1367,0.8
5/1/1367,0.7
6/1/1367,0.7
7/1/1367,0.8
8/1/1367,0.8
9/1/1367,0.8
10/1/1367,0.8
11/1/1367,0.8
12/1/1367,0.9
1/1/1368,0.9
2/1/1368,0.9
3/1/1368,0.9
4/1/1368,0.9
5/1/1368,0.9
6/1/1368,0.9
7/1/1368,0.9
8/1/1368,0.9
9/1/1368,0.9
10/1/1368,0.9
11/1/1368,0.9
12/1/1368,0.9
1/1/1369,1
2/1/1369,1
3/1/1369,1
4/1/1369,1
5/1/1369,0.9
6/1/1369,1
7/1/1369,1
8/1/1369,1
9/1/1369,1
10/1/1369,1
11/1/1369,1
12/1/1369,1
1/1/1370,1.2
2/1/1370,1.2
3/1/1370,1.2
4/1/1370,1.2
5/1/1370,1.3
6/1/1370,1.3
7/1/1370,1.3
8/1/1370,1.3
9/1/1370,1.3
10/1/1370,1.3
11/1/1370,1.4
12/1/1370,1.5
1/1/1371,1.5
2/1/1371,1.5
3/1/1371,1.5
4/1/1371,1.5
5/1/1371,1.6
6/1/1371,1.6
7/1/1371,1.6
8/1/1371,1.6
9/1/1371,1.6
10/1/1371,1.6
11/1/1371,1.7
12/1/1371,1.7
1/1/1372,1.8
2/1/1372,1.8
3/1/1372,1.8
4/1/1372,1.8
5/1/1372,1.8
6/1/1372,1.9
7/1/1372,1.9
8/1/1372,1.9
9/1/1372,2
10/1/1372,2
11/1/1372,2.1
12/1/1372,2.2
1/1/1373,2.2
2/1/1373,2.3
3/1/1373,2.3
4/1/1373,2.4
5/1/1373,2.4
6/1/1373,2.5
7/1/1373,2.6
8/1/1373,2.6
9/1/1373,2.6
10/1/1373,2.7
11/1/1373,2.9
12/1/1373,3.1
1/1/1374,3.4
2/1/1374,3.7
3/1/1374,3.7
4/1/1374,3.7
5/1/1374,3.7
6/1/1374,3.7
7/1/1374,3.8
8/1/1374,3.9
9/1/1374,4
10/1/1374,4.2
11/1/1374,4.2
12/1/1374,4.3
1/1/1375,4.6
2/1/1375,4.6
3/1/1375,4.6
4/1/1375,4.6
5/1/1375,4.6
6/1/1375,4.6
7/1/1375,4.7
8/1/1375,4.8
9/1/1375,4.8
10/1/1375,4.9
11/1/1375,5
12/1/1375,5
1/1/1376,5.2
2/1/1376,5.3
3/1/1376,5.3
4/1/1376,5.3
5/1/1376,5.5
6/1/1376,5.5
7/1/1376,5.5
8/1/1376,5.6
9/1/1376,5.7
10/1/1376,5.8
11/1/1376,5.9
12/1/1376,6
1/1/1377,6.3
2/1/1377,6.3
3/1/1377,6.3
4/1/1377,6.3
5/1/1377,6.3
6/1/1377,6.4
7/1/1377,6.5
8/1/1377,6.6
9/1/1377,6.8
10/1/1377,6.8
11/1/1377,7
12/1/1377,7.1
1/1/1378,7.5
2/1/1378,7.7
3/1/1378,7.7
4/1/1378,7.7
5/1/1378,7.7
6/1/1378,7.8
7/1/1378,7.9
8/1/1378,7.9
9/1/1378,8.1
10/1/1378,8.2
11/1/1378,8.3
12/1/1378,8.5
1/1/1379,8.5
2/1/1379,8.5
3/1/1379,8.7
4/1/1379,8.6
5/1/1379,8.7
6/1/1379,8.7
7/1/1379,8.8
8/1/1379,8.9
9/1/1379,9.1
10/1/1379,9.1
11/1/1379,9.2
12/1/1379,9.4
1/1/1380,9.5
2/1/1380,9.5
3/1/1380,9.6
4/1/1380,9.6
5/1/1380,9.8
6/1/1380,9.8
7/1/1380,9.9
8/1/1380,9.9
9/1/1380,10.1
10/1/1380,10.2
11/1/1380,10.3
12/1/1380,10.5
1/1/1381,10.7
2/1/1381,10.8
3/1/1381,10.9
4/1/1381,11
5/1/1381,11.1
6/1/1381,11.1
7/1/1381,11.2
8/1/1381,11.3
9/1/1381,11.4
10/1/1381,11.5
11/1/1381,11.6
12/1/1381,11.7
1/1/1382,12
2/1/1382,12.1
3/1/1382,12.2
4/1/1382,12.6
5/1/1382,12.6
6/1/1382,12.6
