season,MXP
1/1/1391,25.7
4/1/1391,28.1
7/1/1391,32.5
10/1/1391,46.4
1/1/1392,51.2
4/1/1392,57.1
7/1/1392,63.4
10/1/1392,70.6
1/1/1393,77.8
4/1/1393,87.1
7/1/1393,95.2
10/1/1393,105.7
1/1/1394,104.4
4/1/1394,103.9
7/1/1394,103
10/1/1394,100.4
1/1/1395,90.3
4/1/1395,97.7
7/1/1395,104.9
10/1/1395,107.1
1/1/1396,114.9
4/1/1396,120.9
7/1/1396,132.1
10/1/1396,145.5
1/1/1397,219.4
4/1/1397,261.9
7/1/1397,358.3
10/1/1397,506.7
1/1/1398,713.9
4/1/1398,1026.1
7/1/1398,1419.6
10/1/1398,2160.6
1/1/1399,3623.2
4/1/1399,6138.5
7/1/1399,9779
10/1/1399,14222.4
1/1/1400,21952.9
4/1/1400,35931.7
7/1/1400,53381
10/1/1400,81791.9
